,epoch_mjd,a,e,i,om,w,ma,spkid,per_y,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_per,full_name,number_mp,designation
56,59800,1.505,0.7024,29.2,235.48,49.73,158.67,2003838,1.85,8e-08,3.4e-09,9.3e-06,9.9e-06,1e-05,2.3e-06,  3838 Epona (1986 WA),3838,Epona (1986 WA)
57,59800,1.928,0.4593,2.19,261.21,126.62,231.09,2003908,2.68,2.3e-09,1.9e-09,7e-07,2.5e-05,2.5e-05,1.5e-06,  3908 Nyx (1980 PA),3908,Nyx (1980 PA)
58,59800,1.545,0.3166,10.77,229.79,86.94,265.53,2003988,1.92,3.4e-08,3.7e-09,5.4e-06,2.3e-05,2.5e-05,2.5e-06,  3988 Huma (1986 LA),3988,Huma (1986 LA)
59,59800,2.625,0.6318,2.8,266.78,95.44,356.37,2004015,4.25,3.7e-08,4.4e-09,4.6e-06,8.3e-05,8.3e-05,3.9e-06,  4015 Wilson-Harrington (1979 VA),4015,Wilson-Harrington (1979 VA)
60,59800,1.06,0.444,11.17,157.9,296.71,257.47,2004034,1.09,5.8e-08,4.7e-09,5.6e-06,2e-05,1.9e-05,2.6e-06,  4034 Vishnu (1986 PA),4034,Vishnu (1986 PA)
61,59800,1.82,0.3261,23.26,164.82,154.43,306.17,2004055,2.46,6.1e-09,2.3e-09,6.3e-07,3.1e-06,3.8e-06,1.7e-06,  4055 Magellan (1985 DO2),4055,Magellan (1985 DO2)
62,59800,2.545,0.6245,0.45,125.26,277.93,145.46,2004179,4.06,1.3e-09,5e-10,1.7e-07,2.2e-05,2.2e-05,4.3e-07,  4179 Toutatis (1989 AC),4179,Toutatis (1989 AC)
63,59800,1.982,0.6359,6.67,294.43,236.92,253.18,2004183,2.79,1.3e-08,2e-09,6.5e-07,4.1e-06,4.7e-06,1.6e-06,  4183 Cuno (1959 LM),4183,Cuno (1959 LM)
64,59800,2.294,0.7724,12.6,7.01,122.57,130.15,2004197,3.48,2.4e-08,2.8e-09,4.4e-06,1e-05,1.1e-05,2.3e-06,  4197 Morpheus (1982 TA),4197,Morpheus (1982 TA)
65,59800,1.647,0.4682,40.72,169.16,278.94,147.93,2004257,2.11,4.9e-08,6e-09,4.7e-06,9.8e-06,1.1e-05,4.2e-06,  4257 Ubasti (1987 QA),4257,Ubasti (1987 QA)
66,59800,1.834,0.68,11.84,108.04,15.85,86.49,2004341,2.48,3.8e-08,3.7e-09,4.3e-06,2.1e-05,2.2e-05,2.8e-06,  4341 Poseidon (1987 KF),4341,Poseidon (1987 KF)
67,59800,2.583,0.5633,26.63,22.79,68.13,303.69,2004401,4.15,2.6e-08,8e-09,9.9e-06,9.1e-06,1.3e-05,7e-06,  4401 Aditi (1985 TB),4401,Aditi (1985 TB)
68,59800,1.442,0.5865,5.52,311.8,291.83,96.97,2004450,1.73,2e-08,2.6e-09,3.5e-06,2e-05,2e-05,1.7e-06,  4450 Pan (1987 SY),4450,Pan (1987 SY)
69,59800,2.2,0.6625,3.04,82.24,168.9,275.7,2004486,3.26,2.1e-08,4.2e-09,2e-06,5.8e-05,5.7e-05,3.4e-06,  4486 Mithra (1987 SB),4486,Mithra (1987 SB)
70,59800,1.73,0.2966,16.41,198.11,173.96,109.51,2004487,2.28,4.1e-08,3.5e-09,4.6e-06,1.4e-05,1.5e-05,2.5e-06,  4487 Pocahontas (1987 UA),4487,Pocahontas (1987 UA)
71,59800,2.704,0.5242,2.51,45.96,76.26,110.33,2004503,4.45,2.8e-08,6.4e-09,4.9e-06,7.8e-05,7.9e-05,5.8e-06,  4503 Cleobulus (1989 WM),4503,Cleobulus (1989 WM)
72,59800,1.042,0.2502,14.14,23.96,333.87,333.09,2004544,1.06,6.2e-08,1.6e-09,6.2e-06,8.6e-06,1.8e-05,9e-07,  4544 Xanthus (1989 FB),4544,Xanthus (1989 FB)
73,59800,1.023,0.357,4.92,180.21,255.36,169.65,2004581,1.03,6e-08,4.9e-09,2.5e-06,2e-05,2e-05,2.7e-06,  4581 Asclepius (1989 FC),4581,Asclepius (1989 FC)
74,59800,2.24,0.5199,37.08,154.23,248.36,55.04,2004596,3.35,6.6e-08,6.4e-09,1e-05,9.6e-06,1.4e-05,5.3e-06,  4596 (1981 QB),4596,(1981 QB)
75,59800,1.485,0.3588,1.45,313.14,159.53,116.27,2004660,1.81,6.4e-10,2.7e-09,1.7e-07,9.2e-06,1e-05,1.8e-06,  4660 Nereus (1982 DB),4660,Nereus (1982 DB)
76,59800,2.232,0.5177,6.38,241.23,213.83,168.89,2004688,3.34,4e-08,5.6e-09,5e-06,2.8e-05,3.2e-05,4.6e-06,  4688 (1980 WF),4688,(1980 WF)
77,59800,1.063,0.4831,8.89,325.53,121.41,324.82,2004769,1.1,6.1e-09,8.6e-11,6.8e-07,3.5e-06,3.7e-06,4.9e-08,  4769 Castalia (1989 PB),4769,Castalia (1989 PB)
78,59800,1.37,0.1684,15.65,215.43,192.91,12.93,2004947,1.6,3.6e-08,1.5e-09,4e-06,1.1e-05,1.6e-05,9.5e-07,  4947 Ninkasi (1988 TJ1),4947,Ninkasi (1988 TJ1)
79,59800,1.622,0.6574,24.37,77.55,77.92,263.05,2004953,2.07,3e-08,2e-09,1.6e-06,7.2e-06,6.8e-06,1.4e-06,  4953 (1990 MU),4953,(1990 MU)
80,59800,2.002,0.4491,17.43,358.42,52.56,69.52,2004954,2.83,1.8e-08,3.2e-09,4.1e-07,3.7e-06,2.8e-06,2.4e-06,  4954 Eric (1990 SQ),4954,Eric (1990 SQ)
81,59800,1.565,0.2189,35.01,254.89,97.47,107.93,2004957,1.96,4.2e-08,4.1e-09,9.7e-07,2.9e-06,1.5e-05,2.8e-06,  4957 Brucemurray (1990 XJ),4957,Brucemurray (1990 XJ)
82,59800,1.636,0.5002,7.41,10.64,105.96,156.83,2005011,2.09,5.8e-08,8.2e-09,3.9e-06,3.2e-05,3.2e-05,5.8e-06,  5011 Ptah (6743 P-L),5011,Ptah (6743 P-L)
83,59800,1.486,0.569,36.43,110.38,135.83,282.87,2005131,1.81,1.9e-08,3e-09,1.4e-06,2e-06,2.3e-06,2e-06,  5131 (1990 BG),5131,(1990 BG)
84,59800,1.834,0.7724,9.03,309.48,227.82,88.41,2005143,2.48,1.2e-08,3.1e-09,5.2e-07,2.5e-06,2.6e-06,2.3e-06,  5143 Heracles (1991 VL),5143,Heracles (1991 VL)
85,59800,1.552,0.4781,3.58,135.07,159.95,209.71,2005189,1.93,1e-08,2.4e-09,5.6e-07,4.2e-05,4.2e-05,1.6e-06,  5189 (1990 UQ),5189,(1990 UQ)
86,59800,2.985,0.6048,19.62,352.25,321.13,308.9,2005324,5.16,8.5e-08,5.9e-08,1.6e-05,2.1e-05,3.4e-05,5.6e-05,  5324 Lyapunov (1987 SL),5324,Lyapunov (1987 SL)
87,59800,2.164,0.4552,25.52,142.79,306.06,91.76,2005332,3.18,3.3e-08,4.2e-09,4.1e-06,9.3e-06,1.1e-05,3.4e-06,  5332 Davidaguilar (1990 DA),5332,Davidaguilar (1990 DA)
88,59800,3.322,0.6371,19.17,177.8,161.34,320.4,2005370,6.06,1.5e-07,5.9e-08,1.9e-05,3.2e-05,4.2e-05,5.9e-05,  5370 Taranis (1986 RA),5370,Taranis (1986 RA)
89,59800,0.9475,0.2963,48.97,58.53,37.43,64.16,2005381,0.922,8.5e-09,6.5e-10,1.8e-06,4.7e-07,1.6e-06,3.5e-07,  5381 Sekhmet (1991 JY),5381,Sekhmet (1991 JY)
90,59800,2.436,0.6353,68.0,101.05,118.01,347.86,2005496,3.8,7.3e-08,5.2e-09,2.7e-05,1e-05,1.4e-05,4.5e-06,  5496 (1973 NA),5496,(1973 NA)
91,59800,2.398,0.5442,18.09,189.92,86.83,251.71,2005587,3.71,1.5e-08,1.8e-09,9.6e-07,5e-06,4.5e-06,1.6e-06,  5587 (1990 SB),5587,(1990 SB)
92,59800,0.9857,0.2795,14.19,216.28,34.49,300.12,2005590,0.979,1.7e-06,2.2e-08,6.6e-05,6.4e-05,0.00011,1.2e-05,  5590 (1990 VA),5590,(1990 VA)
93,59800,0.9286,0.4061,4.72,311.9,82.65,108.78,2005604,0.895,1.3e-08,4.5e-09,2.6e-06,1.6e-05,1.6e-05,2.4e-06,  5604 (1992 FE),5604,(1992 FE)
94,59800,2.16,0.4224,7.87,128.67,153.83,43.38,2005620,3.17,4.3e-08,6.9e-09,4.7e-06,3.5e-05,3.5e-05,5.6e-06,  5620 Jasonwheeler (1990 OA),5620,Jasonwheeler (1990 OA)
95,59800,2.194,0.4548,3.85,173.11,231.82,317.61,2005626,3.25,1.6e-08,3.4e-09,3.5e-07,2.7e-05,2.7e-05,2.7e-06,  5626 Melissabrucker (1991 FE),5626,Melissabrucker (1991 FE)
