solution_id,number_mp,designation,mag_h,slope_g,code,obs_arc,obs_num,osc_epoch,orb_m,omega,node_omega,inclination,eccentricity,a,orb_date,ceu,ceu_rate,ceu_epoch
4427920383700574337,4242,brecher,12.8,0.15,8000,24148,1692,20180323,209.280809,211.831903,29.253339,0.283166,0.14844522,3.11764959,20180204,0.023,-8.9E-5,20180228
4427920383700574337,4243,nankivell,12.6,0.15,0,15183,1476,20180323,225.363952,355.602642,345.138852,9.003631,0.11784246,3.02943672,20180204,0.033,1.8E-4,20180228
4427920383700574337,4245,nairc,13.9,0.15,0,23237,1752,20180323,356.874151,26.28188,359.058796,1.943217,0.16892558,2.3746566,20171214,0.017,-5.5E-6,20180228
4427920383700574337,4246,telemann,13.6,0.15,0,18200,1909,20180323,338.279509,239.657873,37.382445,3.071295,0.17518993,2.21554076,20180204,0.029,1.6E-4,20180228
4427920383700574337,4248,ranald,14.1,0.15,0,14385,1098,20180323,41.889454,118.31436,305.70763,5.824435,0.10370161,2.30405317,20180204,0.03,-2.3E-4,20180228
4427920383700574337,4249,kremze,12.3,0.15,0,24625,1681,20180323,104.955354,165.60775,319.794039,4.698379,0.1041999,2.97063546,20171010,0.026,1.3E-4,20180228
4427920383700574337,4250,perun,12.0,0.15,0,14827,2216,20180323,37.160084,265.413278,59.30034,2.521622,0.11723526,3.16522403,20180204,0.015,-5.7E-6,20180228
4427920383700574337,4251,kavasch,13.9,0.15,0,24464,1420,20180323,284.424922,132.980504,115.397849,3.340434,0.17548484,2.40361394,20180204,0.038,-1.2E-4,20180228
4427920383700574337,4252,godwin,12.7,0.15,0,12329,1608,20180323,290.15067,59.328349,164.022604,13.498956,0.13890248,2.65309485,20180204,0.03,-1.6E-4,20180228
4427920383700574337,4253,marker,12.7,0.15,0,12255,1418,20180323,273.325192,341.504555,345.174577,14.523059,0.17469356,2.62166579,20180204,0.038,2.8E-4,20180228
4427920383700574337,4254,kamel,12.0,0.15,0,23537,1677,20180323,206.940081,227.547136,201.956659,13.023432,0.158869,2.61576205,20171010,0.018,6.6E-5,20180228
4427920383700574337,4258,ryazanov,12.1,0.15,0,13764,1973,20180323,5.700489,277.250945,62.205786,3.953803,0.06745327,2.95950673,20171214,0.018,2.5E-6,20180228
4427920383700574337,4261,gekko,12.9,0.15,0,14377,1666,20180323,191.356875,101.538008,265.543437,2.656478,0.1121717,2.79439387,20180204,0.029,1.6E-4,20180228
4427920383700574337,4262,devorkin,12.8,0.15,0,31521,1747,20180323,313.030704,183.995164,129.206844,7.324809,0.2196216,2.30177732,20180204,0.027,1.9E-4,20180228
4427920383700574337,4263,abashiri,12.7,0.15,0,24464,1802,20180323,288.15781,307.666817,298.069675,5.805922,0.13867854,2.23474997,20180204,0.033,-8.1E-5,20180228
4427920383700574337,4264,karljosephine,13.4,0.15,0,15779,1593,20180323,198.969957,197.498822,184.757619,3.507435,0.28131604,2.42326353,20180207,0.027,1.7E-4,20180228
4427920383700574337,4265,kani,13.0,0.15,0,28179,1837,20180323,192.657546,242.806569,127.227726,4.355681,0.20008233,2.42878376,20180204,0.027,1.6E-4,20180228
4427920383700574337,4266,waltari,11.9,0.15,0,27940,1075,20180323,190.321808,156.555959,322.501372,16.494576,0.17687439,3.16979166,20170722,0.025,2.5E-5,20180228
4427920383700574337,4267,basner,14.1,0.15,0,16942,1728,20180323,36.740206,92.363714,244.455673,2.280848,0.2032873,2.32713176,20180204,0.016,-3.6E-5,20180228
4427920383700574337,4268,grebenikov,13.5,0.15,0,27529,1510,20180323,215.973909,19.543624,359.636892,4.23481,0.25996667,2.64187211,20180207,0.03,1.8E-4,20180228
4427920383700574337,4269,bogado,13.5,0.15,0,22504,1812,20180323,338.399503,322.738156,337.669441,3.446231,0.16506474,2.23082488,20171010,0.023,8.1E-5,20180228
4427920383700574337,4270,juanvictoria,14.1,0.15,0,15246,1289,20180323,169.129774,321.144649,125.468795,12.154827,0.1829084,2.36719664,20170722,0.022,9.3E-5,20180228
4427920383700574337,4271,novosibirsk,11.6,0.15,0,15274,1742,20180323,298.969482,129.175138,160.028294,10.912228,0.0934184,3.01620491,20180204,0.03,2.0E-4,20180228
4427920383700574337,4272,entsuji,12.8,0.15,0,23455,1713,20180323,248.732208,183.822843,184.412191,9.270189,0.24858798,2.3695981,20180204,0.023,1.6E-4,20180228
4427920383700574337,4273,dunhuang,13.7,0.15,0,24540,1710,20180323,249.450602,241.248688,127.159159,3.028847,0.22491207,2.39589768,20170613,0.022,1.4E-4,20180228
4427920383700574337,4274,karamanov,12.8,0.15,0,24958,1432,20180323,165.944255,12.498411,7.464108,7.361917,0.23640841,2.69065341,20180204,0.029,1.3E-4,20180228
4427920383700574337,4276,clifford,14.5,0.15,800011,13078,859,20180323,255.854405,3.540828,76.881626,21.033008,0.20413559,2.00938245,20171010,0.023,5.6E-5,20180228
4427920383700574337,4277,holubov,12.7,0.15,0,20239,1470,20180323,81.571452,94.581212,300.118381,10.642389,0.14106713,2.7226083,20180204,0.025,-1.6E-4,20180228
4427920383700574337,4278,harvey,13.6,0.15,10,23255,1639,20180323,126.121866,235.066236,146.501974,5.475845,0.17770576,2.26644509,20180204,0.033,-4.2E-5,20180228
4427920383700574337,4280,simonenko,13.3,0.15,0,23716,1527,20180323,252.278313,358.609514,51.34087,4.628198,0.01021678,2.37665251,20171010,0.02,4.6E-5,20180228
4427920383700574337,4281,pounds,13.8,0.15,10,14746,1912,20180323,128.19606,208.878282,187.916575,0.72952,0.11137723,2.46315645,20180204,0.031,7.5E-5,20180228
4427920383700574337,4282,endate,13.6,0.15,0,23046,1537,20180323,59.787004,101.298729,325.811645,2.720399,0.14496075,2.39154165,20180204,0.032,-2.3E-4,20180228
4427920383700574337,4284,kaho,13.3,0.15,0,21331,1377,20180323,281.37206,167.905335,137.480543,11.770593,0.27439665,2.40058912,20180204,0.036,2.9E-4,20180228
4427920383700574337,4285,hulkower,12.6,0.15,0,17471,1681,20180323,7.097976,78.084792,155.0743,13.14645,0.16267889,2.64365166,20180204,0.028,1.4E-4,20180228
4427920383700574337,4286,rubtsov,12.0,0.15,0,15644,1833,20180323,288.845778,255.395534,134.642075,2.904798,0.0774137,2.91659495,20171111,0.02,3.5E-5,20180228
4427920383700574337,4287,trisov,13.3,0.15,0,25119,1483,20180323,278.702566,257.401868,52.918611,5.483299,0.18678287,2.20845812,20180204,0.034,3.1E-4,20180228
4427920383700574337,4288,tokyotech,11.6,0.15,0,20182,1564,20180323,248.809986,325.137624,44.59315,14.027073,0.1760641,2.63025596,20171010,0.024,1.6E-4,20180228
4427920383700574337,4289,biwako,12.8,0.15,0,22589,1352,20180323,49.094247,340.442131,75.907556,5.464955,0.15680748,2.29666265,20180204,0.026,-2.0E-4,20180228
4427920383700574337,4291,kodaihasu,11.7,0.15,0,21611,1496,20180323,330.160595,9.994329,245.80577,13.654692,0.07821829,2.98360211,20180204,0.033,2.1E-4,20180228
4427920383700574337,4292,aoba,12.2,0.15,0,22896,1725,20180323,33.448698,143.119077,321.602286,3.545045,0.0477933,2.74955437,20180204,0.029,-1.6E-4,20180228
4427920383700574337,4294,horatius,12.9,0.15,1000,24156,1663,20180323,88.91397,27.728265,339.717844,4.870592,0.02421812,2.80196044,20180204,0.023,-1.2E-4,20180228
4427920383700574337,4296,van woerkom,13.2,0.15,0,30067,1659,20180323,144.448859,26.732779,13.10876,6.14692,0.16555797,2.24917116,20180204,0.026,1.6E-4,20180228
4427920383700574337,4297,eichhorn,13.1,0.15,0,29095,1824,20180323,51.499955,181.123214,121.711551,5.859776,0.19251927,2.33538971,20180204,0.016,-2.7E-5,20180228
4427920383700574337,4298,jorgenunez,12.3,0.15,0,27827,1661,20180323,140.077799,311.852747,88.099166,3.296177,0.29259107,3.05019251,20180204,0.029,9.3E-5,20180228
4427920383700574337,4299,wiyn,12.8,0.15,0,23888,1844,20180323,158.44696,272.503051,104.435687,5.084063,0.17197194,2.2431076,20180204,0.025,1.1E-4,20180228
4427920383700574337,4300,marg edmondson,13.1,0.15,0,23756,1510,20180323,208.353581,147.82625,208.558632,3.792087,0.09741874,2.33323851,20180204,0.032,2.3E-4,20180228
4427920383700574337,4301,boyden,12.5,0.15,0,24159,1596,20180323,316.741514,100.954696,52.141114,2.284628,0.11187667,3.11234793,20180204,0.024,-1.2E-4,20180228
4427920383700574337,4302,markeev,12.7,0.15,0,24133,1799,20180323,303.823932,102.090991,152.059804,5.70208,0.13153068,2.45784205,20180204,0.039,2.9E-4,20180228
4427920383700574337,4303,savitskij,14.2,0.15,0,16040,1393,20180323,297.089084,15.531684,32.461556,2.414291,0.13225391,2.1723735,20171010,0.02,1.7E-5,20180228
4427920383700574337,4304,geichenko,14.1,0.15,0,17642,1307,20180323,215.955163,62.084517,312.551263,3.063845,0.14849005,2.45369073,20180207,0.03,2.0E-4,20180228
4427920383700574337,4305,clapton,12.7,0.15,0,24804,1905,20180323,163.23934,327.854395,180.016853,1.808171,0.07161366,2.9117314,20171111,0.019,6.0E-6,20180228
4427920383700574337,4306,dunaevskij,12.7,0.15,0,24459,1803,20180323,217.55163,174.433853,153.229947,1.797547,0.16743906,3.12968089,20180204,0.028,4.6E-5,20180228
4427920383700574337,4307,cherepashchuk,13.0,0.15,0,15069,1846,20180323,68.858666,310.027505,24.248798,5.180254,0.07742171,2.41254252,20180204,0.014,-1.5E-5,20180228
4427920383700574337,4308,magarach,12.6,0.15,0,14349,1309,20180323,326.101165,93.062596,303.992659,10.935885,0.19790087,2.68032161,20171214,0.022,1.9E-5,20180228
4427920383700574337,4310,stromholm,14.0,0.15,0,22931,1765,20180323,329.555183,351.853487,178.488693,3.52047,0.05507319,2.16070919,20180204,0.026,-2.1E-4,20180228
4427920383700574337,4311,zguridi,13.9,0.15,0,14367,1418,20180323,141.502106,125.621705,222.801312,5.483639,0.148016,2.44111316,20180204,0.032,-1.8E-4,20180228
4427920383700574337,4312,knacke,13.3,0.15,0,14115,1589,20180323,281.554861,287.29603,91.179998,4.429859,0.15166133,2.3839858,20171010,0.021,8.8E-5,20180228
4427920383700574337,4313,bouchet,12.8,0.15,0,30735,1748,20180323,28.027395,163.069107,44.182236,9.2755,0.01415681,2.65439652,20180204,0.028,1.7E-4,20180228
4427920383700574337,4314,dervan,13.5,0.15,0,22740,1845,20180323,136.22252,21.412272,225.476622,3.203835,0.09410354,2.59450985,20180204,0.014,-2.1E-5,20180228
4427920383700574337,4315,pronik,12.3,0.15,0,14619,1404,20180323,230.194143,265.977376,28.522761,16.691568,0.29575148,2.97278671,20180204,0.033,-7.8E-5,20180228
4427920383700574337,4316,babinkova,12.5,0.15,0,16576,1861,20180323,152.578239,179.655576,340.144477,1.241344,0.02209156,2.89730572,20171010,0.019,2.2E-5,20180228
4427920383700574337,4317,garibaldi,10.9,0.15,0,13853,1530,20180323,306.480296,94.984549,38.46618,9.818905,0.1615827,3.99616892,20180204,0.021,-4.1E-5,20180228
4427920383700574337,4318,bata,11.7,0.15,0,22178,1522,20180323,245.690123,96.973721,33.145205,9.542565,0.10415698,3.22248361,20180204,0.017,-1.0E-5,20180228
